Disease,Description
Fungal infection,"A fungal infection affecting skin, nails or body areas, causing itching, redness, and patches."
Allergy,"An immune reaction to allergens leading to sneezing, rashes, itching, or swelling."
GERD,A digestive disorder where stomach acid flows back into the esophagus causing heartburn and chest discomfort.
Chronic cholestasis,"A condition where bile flow is reduced, causing jaundice, itching, and abdominal discomfort."
Drug Reaction,"An adverse response to a medication causing rashes, fever, or allergic symptoms."
Peptic ulcer disease,
AIDS,A late stage of HIV infection leading to severe immune weakness and frequent infections.
Diabetes,
Gastroenteritis,"An intestinal infection causing vomiting, diarrhea, abdominal pain, and dehydration."
Bronchial Asthma,"A chronic lung condition causing breathlessness, wheezing, and chest tightness."
Hypertension,
Migraine,"A neurological condition causing severe headache, nausea, and sensitivity to light or sound."
Cervical spondylosis,"Age-related wear in neck bones causing neck pain, stiffness, and dizziness."
Paralysis (brain hemorrhage),Loss of muscle control due to brain bleeding causing paralysis or weakness.
Jaundice,Yellowing of skin and eyes caused by high bilirubin levels.
Malaria,"A mosquito-borne infection causing high fever, chills, sweating, and body ache."
Chicken pox,"A viral infection causing itchy, blister-like rashes and fever."
Dengue,"A mosquito-borne viral illness causing high fever, severe body pain, and low platelets."
Typhoid,"A bacterial infection causing high fever, abdominal pain, and prolonged illness."
hepatitis A,"A viral liver infection causing fatigue, jaundice, nausea, and abdominal pain."
Hepatitis B,"A viral liver disease causing jaundice, fatigue, and liver inflammation."
Hepatitis C,A viral infection affecting the liver causing chronic inflammation.
Hepatitis D,A serious liver infection occurring only with hepatitis B.
Hepatitis E,A viral liver infection spread by contaminated water.
Alcoholic hepatitis,Liver inflammation due to heavy alcohol use.
Tuberculosis,"A bacterial infection affecting lungs causing cough, chest pain, and weight loss."
Common Cold,"A viral respiratory infection causing cough, sneezing, and sore throat."
Pneumonia,"A lung infection causing cough, fever, breathlessness, and chest pain."
Dimorphic hemmorhoids(piles),Swollen veins in the anal area causing pain and bleeding.
Heart attack,Reduced blood flow to heart causing chest pain and severe weakness.
Varicose veins,"Swollen, twisted veins usually in legs causing pain and heaviness."
Hypothyroidism,"A condition where thyroid is underactive causing weight gain, fatigue, and cold intolerance."
Hyperthyroidism,"Overactive thyroid causing weight loss, fast heartbeat, and anxiety."
Hypoglycemia,"Low blood sugar causing dizziness, sweating, and confusion."
Osteoarthristis,"Joint degeneration causing pain, stiffness, and reduced movement."
Arthritis,"Joint inflammation causing swelling, stiffness, and pain."
(vertigo) Paroymsal Positional Vertigo,
Acne,"Skin condition causing pimples, blackheads, and inflammation."
Urinary tract infection,Infection of urinary system causing burning urination and frequent urge.
Psoriasis,"Chronic skin disorder causing red, scaly patches."
Impetigo,A contagious skin infection causing red sores and crusting.
